id,contact_id,state,category,created_at
94,515,Comienza Cotización,manychat,2025-07-30 19:59:42.303
96,1345,Recién suscrito Pendiente de AC,manychat,2025-07-30 22:15:57.373
97,1347,Recién suscrito Pendiente de AC,manychat,2025-07-30 22:23:25.640
98,1348,Comienza Cotización,manychat,2025-07-30 22:27:02.223
99,1349,Recién suscrito Pendiente de AC,manychat,2025-07-30 22:29:39.037
100,1350,Comienza Cotización,manychat,2025-07-30 22:33:43.510
101,1352,Comienza Atención Comercial,manychat,2025-07-30 22:40:44.443
102,1353,Comienza Asesoría Médica,manychat,2025-07-30 22:49:22.167
103,1354,Recién suscrito Pendiente de AC,manychat,2025-07-30 22:55:59.460
104,1356,Orden de venta confirmada,manychat,2025-07-30 23:01:01.703
105,1357,Recién suscrito Pendiente de AC,manychat,2025-07-30 23:02:33.870
106,1358,Recién suscrito Pendiente de AC,manychat,2025-07-30 23:05:51.920
107,1359,Comienza Atención Comercial,manychat,2025-07-30 23:10:33.250
108,1360,Comienza Atención Comercial,manychat,2025-07-30 23:23:12.810
109,1361,Comienza Atención Comercial,manychat,2025-07-30 23:24:22.983
110,1363,Comienza Atención Comercial,manychat,2025-07-30 23:37:02.230
111,1364,Comienza Atención Comercial,manychat,2025-07-30 23:37:32.443
112,1366,Recién suscrito Pendiente de AC,manychat,2025-07-30 23:47:32.313
113,1368,Retornó en AC,manychat,2025-07-30 23:52:08.130
114,1369,Comienza Cotización,manychat,2025-07-31 00:13:52.537
115,1370,Comienza Asesoría Médica,manychat,2025-07-31 00:13:54.513
116,1371,Comienza Cotización,manychat,2025-07-31 00:18:04.867
117,1372,Recién suscrito Pendiente de AC,manychat,2025-07-31 00:20:53.400
118,1373,Recién suscrito Pendiente de AC,manychat,2025-07-31 00:23:48.770
119,1374,Recién suscrito Pendiente de AC,manychat,2025-07-31 00:30:10.000
120,1375,Recién suscrito Pendiente de AC,manychat,2025-07-31 00:33:28.103
121,1376,Recién suscrito Pendiente de AC,manychat,2025-07-31 00:37:21.010
122,1379,Recién suscrito Pendiente de AC,manychat,2025-07-31 00:50:08.807
123,1380,Comienza Cotización,manychat,2025-07-31 00:56:30.120
124,1383,Comienza Cotización,manychat,2025-07-31 01:06:18.737
125,1384,Recién suscrito Pendiente de AC,manychat,2025-07-31 01:07:24.737
126,1385,Recién suscrito Pendiente de AC,manychat,2025-07-31 01:08:39.140
127,1386,Recién suscrito Pendiente de AC,manychat,2025-07-31 01:09:30.120
128,1387,Recién suscrito Pendiente de AC,manychat,2025-07-31 01:11:04.900
129,1388,Recién suscrito Pendiente de AC,manychat,2025-07-31 01:12:53.577
130,1389,Recién suscrito Pendiente de AC,manychat,2025-07-31 01:19:16.067
131,1391,Recién suscrito Pendiente de AC,manychat,2025-07-31 01:20:52.113
132,1392,Recién suscrito Pendiente de AC,manychat,2025-07-31 01:21:24.873
133,1393,Recién suscrito Pendiente de AC,manychat,2025-07-31 01:22:03.550
134,1397,Comienza Cotización,manychat,2025-07-31 01:40:40.507
135,1398,Retornó a Asesoría especializada,manychat,2025-07-31 01:40:59.480
136,1399,Recién suscrito Pendiente de AC,manychat,2025-07-31 01:41:25.113
137,1400,Comienza Atención Comercial,manychat,2025-07-31 01:42:07.047
138,1402,Comienza Cotización,manychat,2025-07-31 01:42:55.993
139,1403,Recién suscrito Pendiente de AC,manychat,2025-07-31 01:45:52.163
140,1404,Recién suscrito Pendiente de AC,manychat,2025-07-31 01:47:57.113
141,1405,Recién suscrito Pendiente de AC,manychat,2025-07-31 01:50:16.803
142,1406,Comienza Cotización,manychat,2025-07-31 01:57:24.300
143,1407,Comienza Atención Comercial,manychat,2025-07-31 01:57:49.733
144,1408,Recién suscrito Pendiente de AC,manychat,2025-07-31 02:01:59.183
145,1409,Comienza Atención Comercial,manychat,2025-07-31 02:08:59.487
146,1410,Recién suscrito Pendiente de AC,manychat,2025-07-31 02:12:40.080
147,1411,Recién suscrito Pendiente de AC,manychat,2025-07-31 02:12:59.307
148,1412,Comienza Cotización,manychat,2025-07-31 02:14:14.643
149,1414,Recién suscrito Pendiente de AC,manychat,2025-07-31 02:19:38.707
